Parent Code,Parent Subject,Code,Subject
8,סחר חוץ,8,"מדדי המחירים בסחר חוץ, בסיס:2020=100"
8,סחר חוץ,8,יבוא לפי ייעוד כלכלי
8,סחר חוץ,8,"יבוא ויצוא לפי ארצות (ללא אניות, מטוסים ויהלומים)"
8,סחר חוץ,8,"עסקאות לפי סוג מטבע (באחוזים, נתונים שנתיים)"
8,סחר חוץ,8,"מדדי המחירים בסחר חוץ ,בסיס: 2015=100"
28,סקר אמון הצרכנים,28,מדד אמון הצרכנים - CCI (מאזן משוקלל)
28,סקר אמון הצרכנים,28,השאלות המרכיבות את המדד
28,סקר אמון הצרכנים,28,נתונים נוספים על משקי בית
28,סקר אמון הצרכנים,28,נתונים נוספים על כלל המשק בישראל
28,סקר אמון הצרכנים,28,מדד אמון הצרכנים היחסי (ממוצע מרץ 2011 עד פברואר 2012 = 100)
28,סקר אמון הצרכנים,28,מדד אמון הצרכנים החדש  (מאזן משוקלל)
28,סקר אמון הצרכנים,28,השאלות המרכיבות את המדד החדש
28,סקר אמון הצרכנים,28,מדד אמון הצרכנים היחסי החדש  (ממוצע מרץ 2011 עד פברואר 2012=100)
31,סקר הערכות עסקים  (סיווג ענפי כלכלה 1993),31,"התפלגות עסקים לפי ענף, נושא הערכות סוגי שאלות ותשובות"
34,סקר הערכות עסקים  (סיווג ענפי כלכלה 2011),34,"התפלגות עסקים לפי ענף, נושא הערכות סוגי שאלות ותשובות  (שאלון לשנים 2013-2015)"
34,סקר הערכות עסקים  (סיווג ענפי כלכלה 2011),34,"התפלגות עסקים לפי ענף, נושא הערכות סוגי שאלות ותשובות  (שאלון משנת 2016)"
49,סקר שימושים בטכנולוגיות מידע ותקשורת בעסקים,49,אתרים ושימוש במדיה חברתית
49,סקר שימושים בטכנולוגיות מידע ותקשורת בעסקים,49,מסחר אלקטרוני וחשבוניות עסקה אלקטרוניות
49,סקר שימושים בטכנולוגיות מידע ותקשורת בעסקים,49,שימוש עסקי
49,סקר שימושים בטכנולוגיות מידע ותקשורת בעסקים,49,טכנולוגיות מתקדמות
16,עסקים ומסחר,16,עסקים
16,עסקים ומסחר,16,מסחר
16,עסקים ומסחר,16,דמוגרפיה של עצמאים
18,פשיעה ומשפט,18,עומדים לדין ומורשעים במשפטים פליליים
20,תאונות דרכים,20,תאונות  דרכים עם נפגעים
20,תאונות דרכים,20,נפגעים בתאונות  דרכים
20,תאונות דרכים,20,רכב מעורב בתאונות
20,תאונות דרכים,20,נהגים מעורבים בתאונות דרכים
20,תאונות דרכים,20,שיעורי תאונות דרכים עם נפגעים
17,תחבורה ותקשורת,17,שירותי אוטובוסים בקווים קבועים
17,תחבורה ותקשורת,17,שירותי רכבת
17,תחבורה ותקשורת,17,שירותי שדות תעופה
17,תחבורה ותקשורת,17,תעבורה
17,תחבורה ותקשורת,17,שירותי נמלים
17,תחבורה ותקשורת,17,הובלה ימית ואווירית
27,תיירות ושירותי הארחה,27,"תושבים היוצאים לחו""ל"
27,תיירות ושירותי הארחה,27,תנועה בגבולות של מבקרים בישראל
27,תיירות ושירותי הארחה,27,שירותי הארחה
33,"תעסוקה ושכר, על פי המוסד לביטוח לאומי  (סיווג ענפי כלכלה 2011)",33,"משרות שכיר, סך כל השכר ושכר חודשי ממוצע (כולל עובדים זרים)"
33,"תעסוקה ושכר, על פי המוסד לביטוח לאומי  (סיווג ענפי כלכלה 2011)",33,משרות שכיר (עובדים  ישראלים בלבד)
33,"תעסוקה ושכר, על פי המוסד לביטוח לאומי  (סיווג ענפי כלכלה 2011)",33,סך כל השכר (עובדים  ישראלים בלבד)
33,"תעסוקה ושכר, על פי המוסד לביטוח לאומי  (סיווג ענפי כלכלה 2011)",33,שכר חודשי ממוצע  למשרת שכיר (עובדים  ישראלים בלבד)
33,"תעסוקה ושכר, על פי המוסד לביטוח לאומי  (סיווג ענפי כלכלה 2011)",33,תעסוקה ושכר לפי מגזרים(נתונים מ- 2014)
33,"תעסוקה ושכר, על פי המוסד לביטוח לאומי  (סיווג ענפי כלכלה 2011)",33,תעסוקה ושכר לפי מגזרים(נתונים עד 2014)
33,"תעסוקה ושכר, על פי המוסד לביטוח לאומי  (סיווג ענפי כלכלה 2011)",33,תעסוקה ושכר בתחום ההייטק לפי ענף כלכלי
33,"תעסוקה ושכר, על פי המוסד לביטוח לאומי  (סיווג ענפי כלכלה 2011)",33,"משרות שכיר, סך כל השכר ושכר חודשי ממוצע למשרת שכיר של עובדים מחו""ל  לפי ענף כלכלי"
23,"תעסוקה ושכר, על פי מוסד לביטוח לאומי  (סיווג ענפי כלכלה 1993)",23,"משרות שכיר, סך כל השכר ושכר חודשי ממוצע (כולל עובדים זרים)"
23,"תעסוקה ושכר, על פי מוסד לביטוח לאומי  (סיווג ענפי כלכלה 1993)",23,משרות שכיר (עובדים  ישראלים בלבד)
23,"תעסוקה ושכר, על פי מוסד לביטוח לאומי  (סיווג ענפי כלכלה 1993)",23,סך כל השכר (עובדים  ישראלים בלבד)
23,"תעסוקה ושכר, על פי מוסד לביטוח לאומי  (סיווג ענפי כלכלה 1993)",23,שכר חודשי ממוצע  למשרת שכיר (עובדים  ישראלים בלבד)
23,"תעסוקה ושכר, על פי מוסד לביטוח לאומי  (סיווג ענפי כלכלה 1993)",23,"עובדים מחו""ל"
13,תעשייה (סיווג ענפי כלכלה 1993),13,הנתונים למפעלים עם משרת שכיר אחת לפחות
36,תעשייה (סיווג ענפי כלכלה 2011 ),36,"הנתונים למפעלים עם משרת שכיר אחת לפחות ,בסיס 2011=100"
36,תעשייה (סיווג ענפי כלכלה 2011 ),36,"הנתונים למפעלים עם משרת שכיר אחת לפחות ,בסיס 2023=100"
